chemical_name	cas_no
((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide	
((1S)-1-((((1S)-1-benzyl-3-cyclopropylamino-2,3-di-oxopropyl)amino)carbonyl)-3-methylbutyl)carbamic acid 5-methoxy-3-oxapentyl ester	
((2-n-butyl-6,7-dichloro-2-cyclopentyl-2,3-dihydro-1-oxo-1H-inden-5-yl)oxy)acetic acid	106105-17-3
((3-methoxythiophen-2-yl)methyl)((2-(9-(pyridin-2-yl)-6-oxaspiro(4.5)decan-9-yl)ethyl))amine	
((3,4-(methylenedioxy)benzyl)amino)-6-chloroquinazoline	
((3Z)-N-(3-chlorophenyl)-3-((3,5-dimethyl-4-((4-methylpiperazin-1-yl)carbonyl)-1H-pyrrol-2-yl)methylene)-N-methyl-2-oxo-2,3-dihydro-1H-indole-5-sulfonamide)	
((5Z)5-(1,3-benzodioxol-5-yl)methylene-2-phenylamino-3,5-dihydro-4H-imidazol-4-one)	
((dihydroindenyl)oxy)alkanoic acid	
((E)-N-4-(1,2,3,4-tetrahydroisoquinolin-2-yl)butyl)-3-phenylacrylamide	
((Py-3')TPP-Ru(phen)2Cl)Cl	
((Z)-1-thiophen-2-ylethylideneamino)thiourea	
(+)-(S)-5,5-dimethylmorpholinyl-2-acetic acid	
(+)-JQ1 compound	
(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate)	
(1-(2-morpholin-4-yl-ethyl)-1H-indol-3-yl)-(2,2,3,3-tetramethylcyclopropyl)methanone	
(1-(2,2-diphenyl-(1,3)dioxolan-4-yl)-ethyl)-dimethyl-amine	
(1-(4-fluorophenyl)-4a-methyl-5,6,7,8-tetrahydro-4H-benzo(f)indazol-5-yl)-(4-(trifluoromethyl)phenyl)methanol	
(1-hexyl-1H-indol-3-yl)-1-naphthalenylmethanone	
(1-hydroxy-2-oxo-3-(N-methyl-3-aminopropyl)-3-methyl-3-aminopropyl)-3-methyl-1-triazene	
(1-pentyl-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone	
(1,2-bis(1,2-benzisoselenazolone-3(2H)-ketone))ethane	
(1,2,5,6-tetrahydropyridin-4-yl)methylphosphinic acid	
(1'S, 2S)-4-amino-N-(1'-carbamoyl-2'-phenylethyl)-2-(4''-methyl-1''-naphthalenesulfonylamino)butanamide	
(19Z)-halichondramide	
(1E,4E)-1,5-bis(2-methoxyphenyl)penta-1,4-dien-3-one	
(1R-(exo,exo))-3-(4-fluorophenyl)-8-methyl-8- azabicyclo(3.2.1)octane-2-carboxylic acid, methyl ester	50370-56-4
(1R,3S,3aR,8bS)-3a-(4-Bromophenyl)-6,8-dimethoxy-3-phenyl-2,3,3a,8b-tetrahydro-1H-cyclopenta(b)benzofuran-1,8b-diol	
(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide	
(2-(2',6'-dimethoxy)phenoxyethylamino)methylbenzo-1,4-dioxane	
(2-(4-(4-isopropoxybenzyl)-phenylamino) imidazoline)	
(2-(5-amino-2-(4-fluorophenyl)-1,6-dihydro-6-oxo-1-pyrimidinyl)-N-(1-((5-methoxycarbonyl-2-benzoxazolyl)carbonyl)-2-phenylethyl)acetamide)	
(2-(6-fluoro-1H-indol-3-yl)-ethyl)-(3-(2,2,3,3-tetrafluoropropoxy)benzyl)amine	
(2-(trimethylammonium)ethyl)methanethiosulfonate	155450-08-1
(2-boronoethyl)-cysteine	
(2-cyano-3,12-dioxooleana-1,9-dien-28-oic acid) trifluoroethylamide	
(2-hydroxy-4-(octyloxy)phenyl)phenylmethanone	1843-05-6
(2-isopropyl-5-methylcyclohexyl) diphenylphosphine oxide	
(2,3,5,6-tetrafluoro-4-methoxymethylphenyl)methyl-2,2-dimethyl-3-(1-propenyl)cyclopropanecarboxylate	
(2,4-dihydroxy-5-isopropylphenyl)-(5-(4-methylpiperazin-1-ylmethyl)-1,3-dihydroisoindol-2-yl)methanone	
(2)-5,6,7,8,4'-pentamethoxyflavanone	
(22R, 25R)-20alpha-spirost-5-en-3beta-yl hexanoate	
(25S)-26-adamantyl-25-hydroxy-2-methylene-22,23-didehydro-19,27-dinor-20-epi-vitamin D3	
(2E,4E,6E,10E)-3,7,11,15-tetramethyl-2,4,6,10,14-hexadecapentaenoic acid	
(2E)-decenal	
(2E)-N,N-dibutyl-3-(4-hydroxy-3-methoxyphenyl)acrylamide	
(2R, 3S)-2-(((4-(2-butynyloxy)phenyl)sulfonyl)amino)-N,3-dihydroxybutanamide	
(2S,4R)-methyl-1-acetyl-4-(N-(4-bromophenyl)sulfamoyloxy)pyrrolidine-2-carboxylate	
(2S)-2-(4-(((3S)-1-acetimidoyl-3-pyrrolidinyl)oxy)phenyl)-3-(7-amidino-2-naphtyl)propanoic acid	
(2S*,3R*)-1-(biphenyl-4-carbonyl)piperazine-2,3-dicarboxylic acid	
