chemical_name	cas_no	Drug Name	CAS Number	UNII	Pharmacology Classification	Pharmacology Description	Indication
((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide		((1-ethylpyrrolidin-2-yl) methyl)-4-hydroxy-7-methoxy-quinoline-3-carboxamide					
((1S)-1-((((1S)-1-benzyl-3-cyclopropylamino-2,3-di-oxopropyl)amino)carbonyl)-3-methylbutyl)carbamic acid 5-methoxy-3-oxapentyl ester		((1S)-1-((((1S)-1-Benzyl-3-(cyclopropylamino)-2,3-dioxopropyl)amino)carbonyl)-3-methylbutyl)carbamic acid 5-methoxy-3-oxapentyl ester	854402-59-8				
((2-n-butyl-6,7-dichloro-2-cyclopentyl-2,3-dihydro-1-oxo-1H-inden-5-yl)oxy)acetic acid	106105-17-3	((2-n-Butyl-6,7-dichloro-2-cyclopentyl-2,3-dihydro-1-oxo-1H-inden-5-yl)oxy)acetic acid	106105-17-3				
((3-methoxythiophen-2-yl)methyl)((2-(9-(pyridin-2-yl)-6-oxaspiro(4.5)decan-9-yl)ethyl))amine		((3-methoxythiophen-2-yl)methyl)((2-(9-(pyridin-2-yl)-6-oxaspiro(4.5)decan-9-yl)ethyl))amine					
((3,4-(methylenedioxy)benzyl)amino)-6-chloroquinazoline		((3,4-(methylenedioxy)benzyl)amino)-6-chloroquinazoline					
((3Z)-N-(3-chlorophenyl)-3-((3,5-dimethyl-4-((4-methylpiperazin-1-yl)carbonyl)-1H-pyrrol-2-yl)methylene)-N-methyl-2-oxo-2,3-dihydro-1H-indole-5-sulfonamide)		((3Z)-N-(3-chlorophenyl)-3-((3,5-dimethyl-4-((4-methylpiperazin-1-yl)carbonyl)-1H-pyrrol-2-yl)methylene)-N-methyl-2-oxo-2,3-dihydro-1H-indole-5-sulfonamide)					
((5Z)5-(1,3-benzodioxol-5-yl)methylene-2-phenylamino-3,5-dihydro-4H-imidazol-4-one)		((5Z)5-(1,3-benzodioxol-5-yl)methylene-2-phenylamino-3,5-dihydro-4H-imidazol-4-one)					
((dihydroindenyl)oxy)alkanoic acid		((dihydroindenyl)oxy)alkanoic acid					
((E)-N-4-(1,2,3,4-tetrahydroisoquinolin-2-yl)butyl)-3-phenylacrylamide		(E)-N-[4-(3,4-Dihydro-1H-isoquinolin-2-YL)-butyl]-3-phenyl-acrylamide					
((Py-3')TPP-Ru(phen)2Cl)Cl		((Py-3')TPP-Ru(phen)2Cl)Cl					
((Z)-1-thiophen-2-ylethylideneamino)thiourea		((Z)-1-thiophen-2-ylethylideneamino)thiourea					
(+)-(S)-5,5-dimethylmorpholinyl-2-acetic acid		(+)-(S)-5,5-dimethylmorpholinyl-2-acetic acid					
(+)-JQ1 compound		(+)-JQ1 compound					
