cas_no	generic_name	pediatric_excl_date	sponser	pediatric_indication	Notes	url	unii_no	indication	pharm_class	pharm_desc	hazard_statements
136470-78-5	Abacavir	12/14/98	Glaxo	HIV Infection		https://pubchem.ncbi.nlm.nih.gov/compound/441300	WR2TIP26VS	Abacavir is indicated in combination with other anti-retroviral agents for the treatment of HIV-1 infection. It is available in a combination product alongside [dolutegravir] and [lamivudine] for the treatment of adult and pediatric patients with HIV-1 who weigh ≥10 kg.	Reverse Transcriptase Inhibitors	Inhibitors of reverse transcriptase (RNA-DIRECTED DNA POLYMERASE), an enzyme that synthesizes DNA on an RNA template. (See all compounds classified as Reverse Transcriptase Inhibitors.)	H302 (87.5%): Harmful if swallowed [Warning Acute toxicity, oral]; H317 (10%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H319 (90%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H341 (95%): Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H351 (92.5%): Suspected of causing cancer [Warning Carcinogenicity]; H361 (92.5%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
	Abacavir/ dolutegravir/ lamivudine	6/7/23	ViiV Healthcare Company	HIV Infection							
	Abatacept	2/14/17	BMS	Polyarticular juvenile idiopathic arthritis (pJIA)							
103-90-2	Acetaminophen	7/11/16	Mallinckrodt	Mild to moderate pain, management of moderate to severe pain with adjunctive opioid analgesics, and reduction of fever		https://pubchem.ncbi.nlm.nih.gov/compound/1983	362O9ITL9D	In general, acetaminophen is used for the treatment of mild to moderate pain and reduction of fever. It is available over the counter in various forms, the most common being oral forms.  Acetaminophen _injection_ is indicated for the management of mild to moderate pain, the management of moderate to severe pain with adjunctive opioid analgesics, and the reduction of fever.  Because of its low risk of causing allergic reactions, this drug can be administered in patients who are intolerant to salicylates and those with allergic tendencies, including bronchial asthmatics. Specific dosing guidelines should be followed when administering acetaminophen to children.	Analgesics, Non-Narcotic	A subclass of analgesic agents that typically do not bind to OPIOID RECEPTORS and are not addictive. Many non-narcotic analgesics are offered as NONPRESCRIPTION DRUGS. (See all compounds classified as Analgesics, Non-Narcotic.)	H302 (99.26%): Harmful if swallowed [Warning Acute toxicity, oral]; H315 (18.43%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (18.18%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H412 (39.07%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H302: Harmful if swallowed [Warning Acute toxicity, oral]; H315: Causes skin irritation [Warning Skin corrosion/irritation]; H319: Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335: May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H401: Toxic to aquatic life [Hazardous to the aquatic environment, acute hazard]; H401: Toxic to aquatic life [Hazardous to the aquatic environment, acute hazard]; H411: Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]; H341: Suspected of causing genetic defects [Warning Germ cell mutagenicity]; H370: Causes damage to organs [Danger Specific target organ toxicity, single exposure]; H371: May cause damage to organs [Warning Specific target organ toxicity, single exposure]; H372: Causes damage to organs through prolonged or repeated exposure [Danger Specific target organ toxicity, repeated exposure]; H373: May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]; H401: Toxic to aquatic life [Hazardous to the aquatic environment, acute hazard]; H411: Toxic to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
850140-72-6	Afatinib	3/8/22	Boehringer Ingelheim Pharmaceuticals, Inc.	Treatment of pediatric patients with tumors with known ErbB deregulation		https://pubchem.ncbi.nlm.nih.gov/compound/10184653	41UD74L59M	Afatinib is a kinase inhibitor indicated as monotherapy for the first-line treatment of (a) Epidermal Growth Factor Receptor (EGFR) TKI (tyrosine kinase inhibitor)-naive adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) whose tumours have non-resistant EGFR mutations as detected by an FDA-approved test, and (b) adult patients with locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy.  Recently, as of January 2018, the US FDA approved a supplemental New Drug Application for Boehringer Ingelheim's Gilotrif (afatinib) for the first line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test. The new label includes data on three additional EGFR mutations: L861Q, G719X and S768I.	Antineoplastic Agents	Substances that inhibit or prevent the proliferation of NEOPLASMS. (See all compounds classified as Antineoplastic Agents.)	H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]
	Aflibercept	10/18/22	Regeneron Pharmaceuticals	Retinopathy of Prematurity							
18559-94-9	Albuterol	8/27/08	GSK	Bronchospasm in children with obstructive airway disease		https://pubchem.ncbi.nlm.nih.gov/compound/2083	QF8SVZ843E	Salbutamol is indicated for (i) the symptomatic relief and prevention of bronchospasm due to bronchial asthma, chronic bronchitis, reversible obstructive airway disease, and other chronic bronchopulmonary disorders in which bronchospasm is a complicating factor, and/or (ii) the acute prophylaxis against exercise-induced bronchospasm and other stimuli known to induce bronchospasm.	Adrenergic beta-2 Receptor Agonists	Compounds bind to and activate ADRENERGIC BETA-2 RECEPTORS. (See all compounds classified as Adrenergic beta-2 Receptor Agonists.)	H302 (98%): Harmful if swallowed [Warning Acute toxicity, oral]; H317 (10%): May cause an allergic skin reaction [Warning Sensitization, Skin]
66376-36-1	Alendronate	4/28/03	Merck	Osteogenesis imperfecta		https://pubchem.ncbi.nlm.nih.gov/compound/2088	X1J18R4W8P	Alendronic acid is indicated for the treatment and prevention of osteoporosis in men and postmenopausal women, treatment of glucocorticoid-induced osteoporosis, and Paget's disease of bone. However, alendronic acid is not indicated for use in pediatric populations or patients with a creatinine clearance <35mL/min.	Bone Density Conservation Agents	Agents that inhibit BONE RESORPTION and/or favor BONE MINERALIZATION and BONE REGENERATION. They are used to heal BONE FRACTURES and to treat METABOLIC BONE DISEASES such as OSTEOPOROSIS. (See all compounds classified as Bone Density Conservation Agents.)	H290 (20%): May be corrosive to metals [Warning Corrosive to Metals]; H302 (20%): Harmful if swallowed [Warning Acute toxicity, oral]; H314 (80%): Causes severe skin burns and eye damage [Danger Skin corrosion/irritation]; H315 (20%): Causes skin irritation [Warning Skin corrosion/irritation]; H318 (20%): Causes serious eye damage [Danger Serious eye damage/eye irritation]; H319 (20%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H361 (20%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]; H371 (20%): May cause damage to organs [Warning Specific target organ toxicity, single exposure]; H315 (100%): Causes skin irritation [Warning Skin corrosion/irritation]; H319 (100%): Causes serious eye irritation [Warning Serious eye damage/eye irritation]; H335 (100%): May cause respiratory irritation [Warning Specific target organ toxicity, single exposure; Respiratory tract irritation]; H361 (100%): Suspected of damaging fertility or the unborn child [Warning Reproductive toxicity]
81403-80-7	Alfuzosin	9/7/10	Sanofi Aventis	Elevated detrusor leak point pressure associated with a known neurological disorder (e.g., spina bifida)		https://pubchem.ncbi.nlm.nih.gov/compound/2092	90347YTW5F	Alfuzosin is used to treat the signs and symptoms of benign prostatic hyperplasia (BPH).	Adrenergic alpha-1 Receptor Antagonists	Drugs that bind to and block the activation of ADRENERGIC ALPHA-1 RECEPTORS. (See all compounds classified as Adrenergic alpha-1 Receptor Antagonists.)	H373 (100%): May causes damage to organs through prolonged or repeated exposure [Warning Specific target organ toxicity, repeated exposure]
173334-57-1	Aliskiren	10/3/17	Noden Pharma DAC	Hypertension		https://pubchem.ncbi.nlm.nih.gov/compound/5493444	502FWN4Q32	Aliskiren is used for the treatment of hypertension in children above 6 years and adults. This drug may also be used in conjunction with antihypertensives such as calcium channel blockers and thiazides in products form to provide additional blood pressure control.	Renin Inhibitors	Agents that inhibit the activity of RENIN and cause VASODILATION. (See all compounds classified as Renin Inhibitors.)	H317 (80.43%): May cause an allergic skin reaction [Warning Sensitization, Skin]; H400 (80.43%): Very toxic to aquatic life [Warning Hazardous to the aquatic environment, acute hazard]; H410 (80.43%): Very toxic to aquatic life with long lasting effects [Warning Hazardous to the aquatic environment, long-term hazard]; H412 (19.57%): Harmful to aquatic life with long lasting effects [Hazardous to the aquatic environment, long-term hazard]
